2014/2015,Spain,Atlético Madrid,42
2014/2015,Switzerland,BSC Young Boys,42
2014/2015,Spain,Valencia CF,42
2015/2016,Germany,Borussia Mönchengladbach,42
2015/2016,Belgium,Club Brugge KV,42
2015/2016,France,Olympique Lyonnais,42
2008/2009,England,Liverpool,41
2008/2009,Netherlands,SC Heerenveen,41
2008/2009,Netherlands,Ajax,41
2008/2009,Netherlands,PSV,41
2009/2010,England,Manchester City,41
2009/2010,Switzerland,BSC Young Boys,41
2010/2011,England,Newcastle United,41
2010/2011,Poland,Polonia Bytom,41
2011/2012,Netherlands,FC Twente,41
2011/2012,England,Chelsea,41
2011/2012,Scotland,Celtic,41
2012/2013,Spain,Sevilla FC,41
2012/2013,Spain,Real Sociedad,41
2012/2013,England,Manchester City,41
2012/2013,England,Chelsea,41
2013/2014,Switzerland,FC Basel,41
2013/2014,Germany,Borussia Dortmund,41
2014/2015,England,Arsenal,41
2014/2015,Portugal,FC Porto,41
2014/2015,England,Manchester United,41
2015/2016,Netherlands,PSV,41
2015/2016,Portugal,SC Braga,41
2008/2009,Netherlands,FC Twente,40
2008/2009,England,Manchester City,40
2009/2010,England,Tottenham Hotspur,40
2009/2010,Portugal,FC Porto,40
2009/2010,Netherlands,PSV,40
2010/2011,France,LOSC Lille,40
2011/2012,Portugal,FC Porto,40
2011/2012,Spain,Valencia CF,40
2012/2013,Netherlands,Ajax,40
2012/2013,Italy,Roma,40
2012/2013,Italy,Fiorentina,40
2012/2013,Germany,Borussia Dortmund,40
2013/2014,Spain,Sevilla FC,40
2013/2014,Scotland,Dundee United,40
2014/2015,Netherlands,PEC Zwolle,40
2014/2015,France,Olympique Lyonnais,40
2014/2015,Italy,Lazio,40
2014/2015,France,Olympique de Marseille,40
2008/2009,Italy,Milan,39
2008/2009,Italy,Genoa,39
2008/2009,Switzerland,FC Basel,39
2009/2010,Germany,FC Bayern Munich,39
2009/2010,Germany,VfL Wolfsburg,39
2010/2011,Netherlands,Heracles Almelo,39
2010/2011,England,Chelsea,39
2010/2011,Belgium,RSC Anderlecht,39
2011/2012,England,Tottenham Hotspur,39
2011/2012,Netherlands,Feyenoord,39
2011/2012,Netherlands,FC Utrecht,39
2011/2012,England,Arsenal,39
2013/2014,Scotland,Motherwell,39
2014/2015,Germany,Bayer 04 Leverkusen,39
2015/2016,England,Southampton,39
2015/2016,Portugal,Sporting CP,39
2008/2009,Poland,Legia Warszawa,38
2008/2009,Netherlands,AZ,38
2008/2009,Italy,Juventus,38
2009/2010,Italy,Udinese,38
2010/2011,Netherlands,FC Twente,38
2010/2011,Netherlands,FC Utrecht,38
2010/2011,Netherlands,Ajax,38
2011/2012,Italy,Roma,38
2011/2012,Netherlands,AZ,38
2011/2012,Scotland,Rangers,38
2011/2012,Italy,Palermo,38
2012/2013,Netherlands,Heracles Almelo,38
2012/2013,Portugal,FC Porto,38
2012/2013,France,FC Lorient,38
2013/2014,Spain,Real Sociedad,38
2013/2014,Germany,Borussia Mönchengladbach,38
2013/2014,England,Everton,38
2014/2015,Portugal,Sporting CP,38
2014/2015,Germany,VfL Wolfsburg,38
2014/2015,Spain,Sevilla FC,38
2015/2016,Spain,Sevilla FC,38
2015/2016,Netherlands,AZ,38
2008/2009,Italy,Inter,37
2008/2009,Switzerland,FC Zürich,37
2008/2009,Belgium,Club Brugge KV,37
2009/2010,Netherlands,Roda JC Kerkrade,37
2009/2010,Italy,Cagliari,37
2009/2010,Italy,Milan,37
2009/2010,Germany,Bayer 04 Leverkusen,37
2009/2010,Spain,Atlético Madrid,37
2009/2010,Netherlands,FC Twente,37
2009/2010,France,Olympique de Marseille,37
2010/2011,Netherlands,FC Groningen,37
2010/2011,England,Liverpool,37
2010/2011,Belgium,KRC Genk,37
2010/2011,Switzerland,FC Zürich,37
2010/2011,Netherlands,AZ,37
2011/2012,France,Montpellier Hérault SC,37
2011/2012,Italy,Juventus,37
2011/2012,Netherlands,SC Heerenveen,37
2011/2012,Italy,Napoli,37
2013/2014,Germany,VfL Wolfsburg,37
2013/2014,Germany,FC Schalke 04,37
2014/2015,England,Southampton,37
2014/2015,Belgium,Club Brugge KV,37
2014/2015,Netherlands,Ajax,37
2015/2016,Italy,Juventus,37
2015/2016,Scotland,Heart of Midlothian,37
2008/2009,France,Girondins de Bordeaux,36
