Netherlands,Netherlands Eredivisie,VVV-Venlo,2010/2011,20,35
Netherlands,Netherlands Eredivisie,VVV-Venlo,2009/2010,30,23
Netherlands,Netherlands Eredivisie,VVV-Venlo,2011/2012,29,25
Belgium,Belgium Jupiler League,Waasland-Beveren,2015/2016,19,25
Belgium,Belgium Jupiler League,Waasland-Beveren,2012/2013,15,20
Belgium,Belgium Jupiler League,Waasland-Beveren,2013/2014,4,5
Belgium,Belgium Jupiler League,Waasland-Beveren,2014/2015,12,18
England,England Premier League,Watford,2015/2016,20,19
England,England Premier League,West Bromwich Albion,2010/2011,30,30
England,England Premier League,West Bromwich Albion,2015/2016,20,26
England,England Premier League,West Bromwich Albion,2013/2014,24,27
England,England Premier League,West Bromwich Albion,2011/2012,21,22
England,England Premier League,West Bromwich Albion,2014/2015,24,26
England,England Premier League,West Bromwich Albion,2008/2009,26,33
England,England Premier League,West Bromwich Albion,2012/2013,32,25
England,England Premier League,West Ham United,2013/2014,25,26
England,England Premier League,West Ham United,2009/2010,30,29
England,England Premier League,West Ham United,2015/2016,34,26
England,England Premier League,West Ham United,2010/2011,24,31
England,England Premier League,West Ham United,2008/2009,23,22
England,England Premier League,West Ham United,2014/2015,25,18
England,England Premier League,West Ham United,2012/2013,34,22
Poland,Poland Ekstraklasa,Widzew Łódź,2013/2014,18,18
Poland,Poland Ekstraklasa,Widzew Łódź,2011/2012,26,40
Poland,Poland Ekstraklasa,Widzew Łódź,2008/2009,15,17
Poland,Poland Ekstraklasa,Widzew Łódź,2012/2013,19,16
Poland,Poland Ekstraklasa,Widzew Łódź,2010/2011,26,12
England,England Premier League,Wigan Athletic,2011/2012,22,27
England,England Premier League,Wigan Athletic,2012/2013,26,39
England,England Premier League,Wigan Athletic,2008/2009,17,18
England,England Premier League,Wigan Athletic,2010/2011,22,34
England,England Premier League,Wigan Athletic,2009/2010,19,24
Netherlands,Netherlands Eredivisie,Willem II,2015/2016,19,26
Netherlands,Netherlands Eredivisie,Willem II,2009/2010,23,29
Netherlands,Netherlands Eredivisie,Willem II,2014/2015,25,22
Netherlands,Netherlands Eredivisie,Willem II,2010/2011,28,48
Netherlands,Netherlands Eredivisie,Willem II,2012/2013,23,35
Netherlands,Netherlands Eredivisie,Willem II,2008/2009,22,32
Poland,Poland Ekstraklasa,Wisła Kraków,2013/2014,23,6
Poland,Poland Ekstraklasa,Wisła Kraków,2012/2013,15,14
Poland,Poland Ekstraklasa,Wisła Kraków,2014/2015,20,18
Poland,Poland Ekstraklasa,Wisła Kraków,2008/2009,31,9
Poland,Poland Ekstraklasa,Wisła Kraków,2009/2010,18,9
Poland,Poland Ekstraklasa,Wisła Kraków,2015/2016,20,17
Poland,Poland Ekstraklasa,Wisła Kraków,2010/2011,27,11
Poland,Poland Ekstraklasa,Wisła Kraków,2011/2012,14,11
England,England Premier League,Wolverhampton Wanderers,2011/2012,19,43
England,England Premier League,Wolverhampton Wanderers,2009/2010,13,22
England,England Premier League,Wolverhampton Wanderers,2010/2011,30,30
Spain,Spain LIGA BBVA,Xerez Club Deportivo,2009/2010,20,29
Poland,Poland Ekstraklasa,Zagłębie Lubin,2009/2010,14,16
Poland,Poland Ekstraklasa,Zagłębie Lubin,2013/2014,23,21
Poland,Poland Ekstraklasa,Zagłębie Lubin,2011/2012,18,20
Poland,Poland Ekstraklasa,Zagłębie Lubin,2015/2016,23,21
Poland,Poland Ekstraklasa,Zagłębie Lubin,2010/2011,14,12
Poland,Poland Ekstraklasa,Zagłębie Lubin,2012/2013,24,18
Poland,Poland Ekstraklasa,Zawisza Bydgoszcz,2014/2015,16,22
Poland,Poland Ekstraklasa,Zawisza Bydgoszcz,2013/2014,27,16
