"Switzerland","Switzerland Super League","2014/2015","36","10","1.6056","1.2667","2.8722","517"
"Belgium","Belgium Jupiler League","2015/2016","30","16","1.6750","1.2167","2.8917","694"
"England","England Premier League","2015/2016","38","20","1.4921","1.2079","2.7000","1026"
"France","France Ligue 1","2015/2016","38","20","1.4368","1.0895","2.5263","960"
"Germany","Germany 1. Bundesliga","2015/2016","34","18","1.5654","1.2647","2.8301","866"
"Italy","Italy Serie A","2015/2016","38","20","1.4711","1.1053","2.5763","979"
"Netherlands","Netherlands Eredivisie","2015/2016","34","18","1.6307","1.3497","2.9804","912"
"Poland","Poland Ekstraklasa","2015/2016","30","15","1.4208","1.2250","2.6458","635"
"Portugal","Portugal Liga ZON Sagres","2015/2016","34","16","1.5131","1.2026","2.7157","831"
"Scotland","Scotland Premier League","2015/2016","38","12","1.5044","1.3465","2.8509","650"
"Spain","Spain LIGA BBVA","2015/2016","38","20","1.6184","1.1263","2.7447","1043"
"Switzerland","Switzerland Super League","2015/2016","36","9","1.7833","1.3611","3.1444","566"
